Date,Goals,Projects,Other Notes,Goal Done,G Overdue,G Undated,G Waiting,G Future,Project Done,P Overdue,P Undated,P Waiting,P Future,Other Done,Overdue,Undated,Waiting,Future,Total Done,Overdue,Undated,Waiting,Future
 7 Mar 2020 23:55,9,13,41,91,14,60,2,6,193,13,57,7,15,1468,444,389,33,107,1752,471,506,42,128
 8 Mar 2020 19:48,9,13,41,91,14,60,2,6,193,13,57,7,15,1659,728,388,33,108,1943,755,505,42,129
 9 Mar 2020 17:39,9,13,41,91,14,60,2,6,193,13,57,7,15,1670,725,398,33,105,1954,752,515,42,126
11 Mar 2020 22:06,9,13,41,92,13,73,2,7,193,13,56,7,17,1711,773,398,33,109,1996,799,527,42,133
15 Mar 2020 20:05,9,13,43,92,13,73,2,7,201,17,58,7,12,1736,905,394,31,95,2029,935,525,40,114
15 Mar 2020 23:57,9,13,43,92,13,73,2,7,201,17,58,7,12,1736,905,394,31,95,2029,935,525,40,114
18 Mar 2020 16:44,9,13,43,92,14,73,2,6,204,17,54,7,13,1751,924,400,34,86,2047,955,527,43,105
19 Mar 2020 04:52,9,13,43,92,14,73,2,6,204,19,54,7,11,1748,931,400,34,84,2044,964,527,43,101
20 Mar 2020 23:27,9,13,44,95,13,73,2,6,205,19,54,7,11,1768,838,401,33,76,2068,870,528,42,93
26 Mar 2020 23:59,9,13,44,95,13,73,2,6,206,21,54,7,8,1773,882,415,31,70,2074,916,542,40,84
27 Mar 2020 16:55,9,13,44,95,12,74,2,7,206,19,56,8,9,1785,866,428,31,86,2086,897,558,41,102
 1 Apr 2020 20:37,9,13,44,96,12,73,2,8,213,12,57,6,4,1823,888,447,33,73,2132,912,577,41,85
 4 Apr 2020 00:45,9,13,44,96,12,73,2,8,225,25,75,6,14,1831,895,443,35,65,2152,932,591,43,87
 5 Apr 2020 23:37,9,13,44,96,12,73,2,8,237,19,74,6,16,1845,902,441,35,64,2178,933,588,43,88
 8 Apr 2020 23:53,9,13,44,97,11,75,2,8,255,18,77,6,10,1858,908,442,36,59,2210,937,594,44,77
16 Apr 2020 13:16,9,13,41,97,12,75,2,7,257,22,77,6,4,1835,916,417,34,49,2189,950,569,42,60
18 Apr 2020 20:27,9,13,41,98,12,76,2,7,258,22,77,6,4,1841,912,420,34,45,2197,946,573,42,56
18 Apr 2020 21:06,9,13,41,99,12,78,2,7,258,22,47,6,4,1841,863,351,34,45,2198,897,468,42,56,Now ignoring cancelled
19 Apr 2020 01:44,9,13,41,99,12,78,2,7,258,22,47,6,4,1841,863,351,34,46,2198,897,468,42,57
19 Apr 2020 23:45,9,13,41,99,12,78,2,7,258,22,47,6,4,1841,867,351,34,46,2198,901,468,42,57
20 Apr 2020 23:45,9,13,41,99,12,78,2,7,258,22,47,6,4,1841,868,351,34,45,2198,902,468,42,56
27 Apr 2020 12:14,9,13,42,99,14,80,2,5,265,25,60,7,2,1868,885,361,33,52,2232,924,491,42,59
28 Apr 2020 22:53,9,13,42,103,12,81,2,8,275,16,66,7,6,1916,846,360,32,69,2294,874,507,41,83
30 Apr 2020 08:58,9,13,42,103,14,81,2,7,277,17,66,7,3,1919,853,366,32,64,2299,884,513,41,74
 1 May 2020 17:24,9,14,42,105,15,81,3,7,286,19,67,8,3,1936,861,358,31,67,2327,895,506,42,77
 2 May 2020 17:24,9,14,42,107,14,80,1,7,287,18,67,8,4,1940,860,357,31,67,2334,892,504,40,78
 9 May 2020 14:15,9,14,43,109,16,78,1,5,291,19,73,8,5,1999,889,373,30,80,2399,924,524,39,90
14 May 2020 08:46,9,14,44,110,17,81,1,4,299,20,69,9,5,2040,876,389,31,64,2449,913,539,41,73
14 May 2020 08:51,9,14,44,110,17,81,1,4,299,20,69,9,5,2040,877,389,31,64,2449,914,539,41,73
17 May 2020 00:07,9,14,44,110,18,83,1,4,299,20,70,9,5,2060,884,391,32,64,2469,922,544,42,75
